"POPCTRRAuid","POPCTRRAdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"1039","2021S05101039","Woodstock","1","3",46296,19384,18747,40404,40614,17424,17045,"34.4052","1","0","0","35",,"544"
"1040","2021S05101040","Wynyard","4","2",1667,888,787,1732,1732,905,814,"1.6582","0","0","0","47",,
"1041","2021S05101041","Wyoming","2","2",2348,971,947,2361,2361,968,948,"4.588","0","0","0","35",,"562"
"1042","2021S05101042","Yamachiche","2","2",1222,536,524,1240,1245,551,525,"1.8475","1","0","0","24",,"442"
"1043","2021S05101043","Yarmouth","4","2",7848,4004,3668,7217,7527,3890,3511,"16.8111","1","0","0","12",,
"1044","2021S05101044","Yellowknife","1","2",19673,7773,7327,18884,19141,7559,6973,"18.1107","1","0","0","61",,"995"
"1045","2021S05101045","Yorkton","1","2",15969,7398,6845,16041,16046,7268,6828,"10.6778","1","0","0","47",,"710"
"1047","2021S05101047","One Hundred Mile House","4","2",1706,864,809,1811,1811,854,811,"2.4023","0","0","0","59",,
"1048","2021S05101048","Abbotsford","1","4",132300,49176,47091,121279,122163,45623,43325,"71.1956","1","0","0","59",,"932"
"1051","2021S05101051","Buckingham","2","2",17407,8012,7746,16685,16791,7467,7263,"19.7417","1","0","0","24",,"505"
"1061","2021S05101061","Fermont","4","2",2151,1459,927,2288,2288,1447,975,"1.4495","0","0","0","24",,
"1062","2021S05101062","Fort Erie","6","2",15372,6856,6486,14621,14772,6609,6190,"14.6156","1","0","0","35",,"539"
"1063","2021S05101063","Crystal Beach","2","2",9531,5229,4306,8524,8524,5032,3879,"11.3402","0","0","0","35",,"539"
"1064","2021S05101064","Gaspé","4","2",2803,1377,1322,2609,2609,1293,1206,"4.9523","0","0","0","24",,
"1066","2021S05101066","Rivière-au-Renard","4","2",1045,524,496,1074,1106,509,487,"2.096","1","0","0","24",,
"1067","2021S05101067","Keswick - Elmhurst Beach","6","2",27145,10284,9841,26757,26999,9997,9612,"16.5595","1","0","0","35",,"535"
"1071","2021S05101071","Nobleton","2","2",6507,1919,1889,4614,4924,1610,1471,"8.5842","1","0","0","35",,"535"
"1072","2021S05101072","Port-Alfred-Bagotville","2","2",13350,6518,6270,13865,13865,6507,6286,"13.1104","0","0","0","24",,"408"
"1075","2021S05101075","Beamsville","6","2",13323,4970,4866,11834,11869,4307,4240,"9.885","1","0","0","35",,"539"
"1083","2021S05101083","Mississauga Beach","2","2",5293,2822,2477,4662,4662,2529,2153,"5.8142","0","0","0","35",,"539"
"1084","2021S05101084","Dowling","2","2",1449,575,561,1466,1466,588,575,"1.3493","0","0","0","35",,"580"
"1086","2021S05101086","Petawawa","1","2",14382,5593,5292,13701,13870,5327,5022,"16.0081","1","0","0","35",,"516"
"1087","2021S05101087","Port Hardy","4","2",3393,1662,1494,3643,3643,1772,1535,"5.1467","0","0","0","59",,
"1098","2021S05101098","Sooke","2","2",11583,4940,4702,9269,9936,4330,4032,"15.2988","1","0","0","59",,"935"
"1099","2021S05101099","Timmins","1","2",28874,13801,12757,29331,29331,13875,12754,"18.4938","0","0","0","35",,"586"
"1100","2021S05101100","Porcupine","2","2",5832,2620,2467,4716,5811,2492,2350,"5.7783","1","0","0","35",,"586"
"1102","2021S05101102","Lively","2","2",5569,2261,2154,5608,5613,2262,2219,"11.6707","1","0","0","35",,"580"
"1105","2021S05101105","Chatham - Douglastown","1","2",11594,5759,5399,11329,11364,5548,5181,"27.7759","1","0","0","13",,"329"
"1117","2021S05101117","Summerland","4","2",9860,4471,4224,8742,9466,4312,4064,"15.8259","1","0","0","59",,
"1123","2021S05101123","Daveluyville","4","2",1345,670,629,1236,1306,659,594,"2.5287","1","0","0","24",,
"1127","2021S05101127","Les Coteaux","6","2",19582,8213,7938,17396,17396,7064,6802,"18.1275","0","0","0","24",,"462"
"1128","2021S05101128","Paisley","4","2",1061,526,489,1045,1045,536,471,"1.7969","0","0","0","35",,
"1129","2021S05101129","Grand Valley","4","2",2720,1021,999,1643,1825,719,701,"2.8757","1","0","0","35",,
"1132","2021S05101132","Creemore","4","2",1194,508,469,1170,1170,487,459,"1.5902","0","0","0","35",,
"1133","2021S05101133","Niverville","2","2",5593,1866,1833,4083,4363,1514,1462,"4.2276","1","0","0","46",,"602"
"1137","2021S05101137","Warman","6","2",12362,4292,4144,10961,10961,3853,3728,"7.6497","0","0","0","47",,"725"
"1138","2021S05101138","Nanton","4","2",1984,915,871,1965,1970,880,849,"1.5588","1","0","0","48",,
"1139","2021S05101139","Black Diamond","4","2",2574,1174,1120,2552,2552,1048,1039,"2.1467","0","0","0","48",,
"1140","2021S05101140","Carstairs","4","2",3660,1405,1366,3080,3080,1199,1163,"4.7559","0","0","0","48",,
"1141","2021S05101141","Gibbons","2","2",2989,1187,1108,2661,2973,1162,1077,"4.7764","1","0","0","48",,"835"
"1143","2021S05101143","Elkford","4","2",1908,1142,823,1752,1788,1091,746,"3.0666","1","0","0","59",,
"1144","2021S05101144","Logan Lake","2","2",1356,726,665,1208,1208,722,601,"0.9407","0","0","0","59",,"925"
"1145","2021S05101145","Maskinongé","4","2",1409,659,643,1368,1368,624,604,"2.1482","0","0","0","24",,
"1147","2021S05101147","Colchester","2","2",2334,1231,1031,2229,2229,1340,962,"3.0553","0","0","0","35",,"559"
